#from Haliday+2006

356	00 42 54.17	+41 13 36.7	-347.4 	6.4 	3.14
357	00 42 54.22	+41 14 17.0	-133.9 	4.6 	2.63
358	00 42 54.35	+41 41 28.5	-260.8	13.5	25.40
359	00 42 54.49	+41 21 23.0	-351.8 	3.3 	5.58
360	00 42 54.58	+41 15 37.2	-115.5 	4.6 	2.00
361	00 42 54.59	+41 15 21.6 	-37.8 	4.6 	2.08
362	00 42 55.30	+41 18 14.8	-240.3 	4.6 	2.95
363	00 42 55.44	+41 17 20.7	-290.2 	4.6 	2.41
364	00 42 55.51	+41 16 24.4	-421.1	13.3 	2.12
365	00 42 55.69	+41 25 49.1	-252.0 	2.0 	9.91
366	00 42 55.79	+41 16 15.8	-221.4 	4.6 	2.16
367	00 42 56.08	+41 17 32.3	-241.3 	4.6 	2.61
368	00 42 56.20	+41 19 12.7	-318.4 	4.6 	3.79
369	00 42 56.21	+41 22 02.8 	-8.4 	3.3 	6.31
370	00 42 56.29	+41 37 38.7	-541.0	13.5	21.62
371	00 42 56.38	+41 18 53.6	-139.5 	8.2 	3.56
372	00 42 56.38	+41 29 41.4	-145.8	13.5	13.74
373	00 42 56.39	+41 13 28.7	-681.6 	3.3 	3.50
374	00 42 56.92	+41 14 08.4	-431.3 	6.4 	3.10
375	00 42 56.93	+41 18 14.1	-160.1 	4.6 	3.16
376	00 42 57.20	+41 16 59.1	-332.6 	4.6 	2.56
377	00 42 57.33	+41 17 25.4	-302.7 	4.6 	2.76
378	00 42 57.36	+41 17 14.7	-524.7 	4.6 	2.69
379	00 42 57.43	+41 23 05.5	-304.1 	4.6 	7.37
380	00 42 57.75	+41 18 47.9 	129.6 	4.6 	3.66
381	00 42 57.98	+41 16 21.3	-122.0 	4.6 	2.57
382	00 42 58.02	+41 14 52.1	-430.8 	4.6 	2.87
383	00 42 58.33	+41 17 09.7	-218.0 	4.6 	2.82
384	00 42 58.37	+41 25 11.0	-403.4 	6.4 	9.42
385	00 42 58.45	+41 15 06.0	-524.7 	8.2 	2.85
386	00 42 58.47	+40 59 34.6	-325.9 	6.0	16.78
387	00 42 58.87	+41 22 13.2	-154.8	13.5 	6.66
388	00 42 58.95	+41 18 54.5 	30.5 	4.6 	3.90
389	00 42 59.10	+42 02 14.0	-321.4 	9.9	46.17
390	00 42 59.26	+41 48 40.0	-225.2 	8.2	32.64
391	00 42 59.35	+41 21 45.9	-260.1 	3.3 	6.29
392	00 42 59.58	+41 20 03.0 	69.8 	6.4 	4.85
393	00 42 59.64	+41 23 07.9	-165.0 	4.6 	7.56
394	00 42 59.92	+41 16 49.0	-307.3 	4.6 	3.01
395	00 43 00.19	+41 21 34.0	-291.3 	6.4 	6.19
396	00 43 00.51	+41 58 55.7	-283.9 	8.2	42.89
397	00 43 00.61	+41 14 42.8	-252.2 	4.6 	3.38
398	00 43 00.81	+41 30 11.5	-308.5	13.5	14.39
399	00 43 00.86	+41 18 42.4 	-79.0 	4.6 	4.03
400	00 43 01.18	+41 20 04.5	-220.1 	4.6 	5.05
401	00 43 01.31	+41 26 20.1	-112.7 	3.7	10.68
402	00 43 02.04	+40 49 30.0	-156.6 	6.0	26.85
403	00 43 02.39	+41 16 49.6	-301.8 	4.6 	3.46
404	00 43 02.54	+41 20 28.2	-253.5 	3.7 	5.52
405	00 43 02.56	+41 16 59.9	-406.9 	6.4 	3.53
406	00 43 02.59	+41 08 43.0	-344.7	13.5 	8.18
407	00 43 02.96	+41 20 40.4	-148.9 	3.3 	5.73
408	00 43 03.00	+41 26 10.8 	-87.6 	3.2	10.63
409	00 43 03.53	+41 24 35.3 	-89.7 	3.7 	9.18
410	00 43 03.72	+41 17 37.3	-127.7 	4.6 	3.93
411	00 43 03.88	+41 21 24.4	-314.0 	4.6 	6.42
412	00 43 04.35	+41 20 08.2	-243.7 	4.6 	5.49
413	00 43 04.56	+41 14 43.1	-454.6 	3.7 	4.06
414	00 43 04.75	+41 21 43.0	-144.7 	4.6 	6.77
415	00 43 05.20	+41 55 52.4	-288.4 	6.0	39.92
416	00 43 05.21	+41 17 37.9	-225.5 	3.3 	4.20
417	00 43 05.34	+41 18 32.6	-549.7 	4.6 	4.62
