A362   190.9363793 +11.5730732 25.525  0.095 23.919  0.087  1.605  0.129
A363   190.9623759 +11.5594535 24.542  0.044 23.954  0.078  0.588  0.090
A364   190.9468362 +11.5587532 25.936  0.141 23.940  0.095  1.995  0.170
A366   190.9791621 +11.5783294 25.157  0.081 23.961  0.083  1.196  0.115
A367   190.9667872 +11.5405757 25.112  0.063 23.981  0.078  1.131  0.101
A368   190.9410113 +11.5677072 25.113  0.068 23.976  0.097  1.136  0.119
A702   190.9513692 +11.5650280 24.588  0.046 22.960  0.039  1.628  0.060
A709   190.9780799 +11.5539344 24.752  0.046 23.997  0.072  0.755  0.085
A710   190.9517743 +11.5431442 24.422  0.040 23.436  0.059  0.986  0.071
A989   190.9449091 +11.5497719 24.064  0.034 22.840  0.042  1.224  0.054
B8     190.9506622 +11.5348059 19.933  0.010 18.620  0.010  1.314  0.015
B12    190.9290527 +11.5366579 21.333  0.012 19.759  0.011  1.577  0.016
B13    190.9367896 +11.5484580 21.256  0.010 19.824  0.011  1.434  0.014
B14    190.9640928 +11.5255115 20.903  0.011 19.895  0.012  1.009  0.016
B15    190.9412600 +11.5149281 20.886  0.011 19.955  0.012  0.930  0.016
B16    190.9519878 +11.5197973 21.601  0.012 19.995  0.012  1.606  0.017
B18    190.9467316 +11.5027603 21.211  0.011 20.184  0.012  1.027  0.016
B19    190.9454075 +11.5428054 21.807  0.012 20.258  0.012  1.550  0.017
B21    190.9367209 +11.5157611 21.360  0.012 20.268  0.012  1.091  0.017
B23    190.9617409 +11.4976911 21.475  0.012 20.332  0.012  1.144  0.017
B24    190.9585675 +11.5163674 21.317  0.011 20.339  0.012  0.978  0.016
B25    190.9322272 +11.5291086 21.486  0.012 20.382  0.012  1.104  0.017
B28    190.9424339 +11.5390535 22.020  0.013 20.542  0.013  1.478  0.018
B29    190.9625919 +11.5151096 21.650  0.012 20.592  0.013  1.058  0.018
B31    190.9276807 +11.5164904 21.969  0.013 20.632  0.013  1.337  0.018
B32    190.9481312 +11.5394582 21.735  0.012 20.642  0.013  1.093  0.018
