#  Table 3115.tab  Fri 16:12:25 15-Jan-2016

# row     SMA     INTENS    INT_ERR   PIX_VAR       RMS  ELLIP ELLIP_ERR      PA
#       pixel                                                            degrees

    1    0.00      2342.      INDEF     INDEF     INDEF  INDEF     INDEF   INDEF
    4   -8.42      1      1   -0.0316  0.0269   0.00439  0.0239   -0.0546
    5   -8.42      1      1    0.0175  0.0394    0.0409   0.041   -0.0941
    6   -8.42      1      1     0.037  0.0403    0.0241  0.0372   -0.0121
    7   -8.42      1      1    0.0237  0.0364    0.0244  0.0351  -0.00105
    8   -8.42      1      1    0.0192  0.0316    0.0171  0.0303   0.00138
    9   -10.1      1      5    0.0102  0.0255    0.0143  0.0246   0.00921
   10   -10.1      1      5   0.00335  0.0204   0.00897  0.0197     0.018
   11   -10.1      5      5  -0.00102  0.0168   0.00519  0.0161     0.025
   12   -10.1      5      5  -1.57E-4  0.0146   0.00342   0.014    0.0313
   13   -10.7      7      9  -0.00352   0.013   0.00237  0.0125    0.0336
   14   -10.7      7      9  -0.00147  0.0112   0.00122  0.0108    0.0327
   15   -10.7      7      9   7.84E-4  0.0105   0.00204  0.0101     0.032
   16   -10.7      9      9   0.00428 0.00895   0.00228  0.0086    0.0257
   17    -11.      9     13   0.00725 0.00565   8.61E-4 0.00552    0.0156
   18   -11.5     13     21   0.00255 0.00284    0.0012 0.00266   0.00773
   19   -11.5     17     21   7.16E-4 0.00434    -0.002 0.00432    0.0106
   20   -11.6     19     25   0.00306 0.00435    0.0026 0.00434   0.00663
   21   -11.9     21     37   0.00252 0.00324   2.29E-4  0.0031   0.00617
   22   -11.9     25     37   0.00413 0.00219  -0.00183 0.00215    0.0045
   23   -12.1     33     45   0.00161 0.00288   -0.0029 0.00278   0.00136
   24   -12.3     35     57   0.00262 0.00345   -0.0017 0.00346  -0.00142
   25   -12.4     39     69   2.54E-4   0.003  -1.82E-4 0.00298   1.05E-4
   26   -12.6     55     89   0.00144 0.00309  -3.87E-4 0.00304  -0.00101
   27   -12.7     59     97  -4.97E-5 0.00413   0.00229 0.00408  -6.28E-4
   28   -12.9     67    121  -5.08E-4  0.0047   0.00112 0.00467   5.49E-4
   29    -13.     85    145   0.00205 0.00519   5.29E-4  0.0052  -2.48E-4
   30   -13.2     93    177   6.58E-4 0.00584    0.0021 0.00574  -4.57E-4
   31   -13.3    109    221   0.00197 0.00662   2.85E-4  0.0066   6.86E-4
   32   -13.5    133    261   0.00193 0.00741   1.66E-4 0.00737  -2.55E-4
   33   -13.6    149    317   0.00298 0.00855   2.90E-5 0.00851  -2.27E-4
   34   -13.8    181    377   0.00426 0.00949   7.45E-4 0.00929   7.46E-5
   35    -14.    211    465   0.00476  0.0107  -0.00351  0.0106   6.25E-4
   36   -14.1    251    553   0.00573  0.0124  -0.00353  0.0123   0.00195
   37   -14.3    289    673   0.00519  0.0134   0.00183  0.0131   8.23E-4
   38   -14.5    347    805   0.00436   0.014   3.26E-5  0.0138   0.00221
   39   -14.6    407    981   0.00205  0.0136   0.00567  0.0133   0.00135
   40   -14.8    489   1201   0.00225  0.0129   0.00344  0.0126   0.00136
   41    -15.    597   1449   0.00297  0.0124   0.00106  0.0122  -7.19E-4
   42   -15.2    719   1749   0.00375  0.0122   0.00121   0.012  -0.00284
   43   -15.4    861   2093   7.11E-4  0.0116   0.00183  0.0114  -0.00479
   44   -15.6   1037   2561  -0.00314  0.0108   0.00144  0.0106  -0.00469
   45   -15.8   1229   3093  -0.00413  0.0107   0.00119  0.0105  -0.00114
   46   -15.9   1443   3745  -0.00207 0.00947   0.00664 0.00931   0.00187
   47   -16.1   1709   4509  -0.00442 0.00904   0.00277 0.00885   0.00542
   48   -16.3   2007   5473  -0.00841 0.00862  -0.00483 0.00839   0.00583
   49   -16.5   2399   6613  -0.00774 0.00766   0.00156 0.00742   0.00265
   50   -16.7   2863   8029   0.00263 0.00734   0.00779 0.00714  -8.96E-4
   51   -16.9   3395   9721  -9.58E-4 0.00804  -0.00492 0.00781   0.00791
   52   -17.1   3917  11761   2.31E-4 0.00741   0.00433 0.00714   0.00296
   53   -17.3   4761  14249   0.00402 0.00626  -0.00186 0.00602   0.00428
   54   -17.5   5835  17193   0.00924 0.00638  -0.00844 0.00616   0.00195
   55   -17.7   6837  20841   0.00729 0.00521   0.00441   0.005  -0.00464
   56   -17.9   8667  25193    -0.014 0.00752  -5.73E-5 0.00718   0.00779
   57   -18.1  10821  30525    0.0047 0.00585    0.0169 0.00584    0.0107
   58   -18.3  13055  36905    0.0141 0.00801    -0.036 0.00853  -0.00321
   59   -18.5  16981  43912    0.0489   0.015   0.00108  0.0123   3.21E-4
   60   -18.7  20545  51752   5.98E-5 2.77E-4   2.76E-4 2.82E-4  -5.93E-4
   61   -18.9  24859  60287  -0.00173 8.02E-4  -0.00116 6.93E-4   0.00159
   62    -19.  30000  68494  -1.96E-5 6.85E-4  -0.00268 0.00111   6.66E-4
   63   -19.1  33132  76663  -4.65E-4 0.00135   2.90E-4 0.00138  -0.00174

# row  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
#                                                                 pixel

    1   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
    2  0.0346   -0.0531  0.0302    13     0    10     0     0.105   2.0
    3  0.0362   -0.0528  0.0318    13     0    10     0     0.472   2.0
    4  0.0245   -0.0217  0.0175    13     0    18     0     0.538   2.0
    5  0.0429    0.0528  0.0272    13     0    14     0     0.747   2.0
    6  0.0162     0.102  0.0441    13     0    10     0     0.317   2.0
    7  0.0146    0.0982  0.0358    13     0    10     0   0.00259   2.0
    8   0.015    0.0829   0.027    13     0    10     0    0.0265   2.0
    9  0.0144    0.0634  0.0195    13     0    10     0    0.0141   2.0
   10  0.0126    0.0473  0.0144    13     0    10     0    0.0159   2.0
   11  0.0113    0.0325  0.0112    13     0    10     0   0.00623   2.0
   12  0.0103    0.0174 0.00928    13     0    10     0    0.0225   2.0
   13 0.00823   0.00818  0.0069    13     0    10     0    0.0679   2.0
   14 0.00553    0.0023  0.0042    13     0    10     0    0.0116   2.0
   15 0.00426   2.69E-4 0.00282    13     0    10     0    0.0379   2.0
   16 0.00426   9.41E-4 0.00368    13     0    10     0   0.00762   2.0
   17 0.00249   0.00453 0.00235    13     0    10     0     0.011   2.0
   18 0.00165   8.37E-4  0.0015    14     0    10     0     0.017   2.0
   19 0.00283   0.00325 0.00277    14     0    10     0    0.0111   2.0
   20 0.00391  -5.23E-4 0.00389    15     0    10     0    0.0882   2.0
   21 0.00235   0.00545 0.00224    17     0    10     0    0.0744   2.0
   22 9.13E-4   0.00619 9.10E-4    18     0    10     0    0.0984   2.0
   23 0.00231   0.00668 0.00225    20     0    10     0    0.0254   2.0
   24 0.00276   0.00867  0.0028    21     0    10     0     0.213   2.0
   25 0.00132     0.012 0.00139    23     0    10     0     0.157   2.0
   26 0.00173    0.0118 0.00177    25     0    10     0    0.0844   2.0
   27  0.0024    0.0163 0.00252    27     0    10     0    0.0507   2.0
   28 0.00239    0.0205 0.00262    29     0    10     0     0.129   2.0
   29 0.00283    0.0231 0.00317    31     0    50     2      1.21   2.0
   30 0.00316    0.0269 0.00357    34     0    10     0    0.0155   2.0
   31 0.00371    0.0315 0.00433    36     0    50     2      1.07   2.0
   32 0.00443    0.0355 0.00524    39     0    10     0   0.00843   2.0
   33  0.0054    0.0413 0.00657    42     0    20     0    0.0674   2.0
   34 0.00629    0.0456 0.00759    46     0    10     0    0.0376   2.0
   35 0.00746    0.0512 0.00931    49     0    11     0     0.923   2.0
   36 0.00887    0.0605  0.0117    53     0    10     0    0.0445   2.0
   37    0.01    0.0642  0.0129    58     0    10     0     0.887   2.0
   38  0.0109    0.0662  0.0142    62     0    10     0    0.0268   2.0
   39   0.011    0.0623  0.0132    68     0    10     0    0.0244   2.0
   40  0.0105    0.0614  0.0126    75     0    10     0     0.058   2.0
   41  0.0103    0.0609  0.0142    82     0    10     0     0.355   2.0
   42  0.0102    0.0606  0.0139    90     0    10     0     0.331   2.0
   43 0.00983    0.0595  0.0131    99     0    10     0    0.0242   2.0
   44 0.00916    0.0565  0.0119   108     0    10     0   0.00841   2.0
   45 0.00917    0.0558  0.0116   117     0    10     0     0.188   2.0
   46 0.00797    0.0551  0.0101   127     0    10     0    0.0105   2.0
   47 0.00752    0.0561 0.00997   137     0    10     0    0.0137   2.0
   48 0.00742    0.0497 0.00884   148     0    10     0   0.00494   2.0
   49 0.00669    0.0438  0.0077   162     0    10     0   0.00713   2.0
   50 0.00642    0.0441 0.00738   177     0    10     0    0.0363   2.0
   51 0.00749    0.0371 0.00819   192     0    10     0    0.0454   2.0
   52   0.007      0.03 0.00733   206     0    10     0    0.0152   2.0
   53 0.00612    0.0125  0.0061   227     0    10     0      0.02   2.0
   54 0.00626   0.00658  0.0062   251     0    10     0    0.0168   2.0
   55 0.00512   0.00191 0.00504   271     0    10     0   9.82E-4   2.0
   56 0.00735   9.03E-4 0.00724   306     0    10     0    0.0132   2.0
   57 0.00579  -0.00797 0.00572   343     0    10     0    0.0235   2.0
   58 0.00776    0.0132 0.00781   377     0    10     0   0.00638   2.0
   59  0.0125   -0.0215  0.0129   434     0    50     2     0.154   2.0
   60 3.22E-4   1.98E-4 2.77E-4   477     0    50     2     0.152   2.0
   61 7.68E-4  -0.00103 6.75E-4   525     0    50     2     0.152   2.0
   62 7.16E-4  -3.55E-4 7.06E-4   541    36    50     2     0.156   2.0
   63 0.00146  -0.00184 0.00149   530    87    39     1     0.289   2.0
